"farm_name","state","district","plot_id","crop","rainfall","temperature","soil_moisture"
"Punjab Agro","Punjab","Ludhiana","cmco4e02z001e5frpqxsc7ekr","Basmati Rice",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e035001g5frpl5xezakc","Sona Masuri Rice",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03c001i5frp7qrgykc8","Wheat",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03g001k5frpegf0z3uh","Sugarcane",,,
"Punjab Agro","Punjab","Ludhiana","cmco4e03j001m5frpj2sz064c","Cotton",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03n001o5frpllbs7tsx","Sona Masuri Rice",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03q001q5frpr8z4kq4l","Wheat",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e03w001s5frphalh0g4b","Sugarcane",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e041001u5frpm58em8rp","Cotton",,,
"Karnataka Krishi","Karnataka","Mandya","cmco4e043001w5frpuyv8bqsv","Maize",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e049001y5frpddkxbdtu","Wheat",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04d00205frp951vpfxw","Sugarcane",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04f00225frpts8caoi2","Cotton",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04h00245frpquie868y","Maize",,,
"Tamil Nadu Rice Fields","Tamil Nadu","Thanjavur","cmco4e04k00265frpejk82t9t","Pigeon Pea",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04q00285frpw9ut72vx","Sugarcane",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04u002a5frpjxwbc311","Cotton",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e04x002c5frptmgsjfum","Maize",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e050002e5frpyup8pkrm","Pigeon Pea",,,
"Maharashtra Cotton Estate","Maharashtra","Nagpur","cmco4e052002g5frp72v7cnb0","Chickpea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05b002i5frpfrqf67tv","Cotton",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05e002k5frpr8nznvja","Maize",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05g002m5frpdmn2lstf","Pigeon Pea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05j002o5frpvh3mz7cz","Chickpea",,,
"Uttar Pradesh Wheat Farm","Uttar Pradesh","Meerut","cmco4e05p002q5frpi62eb01n","Groundnut",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05u002s5frpol5e442o","Maize",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05w002u5frpyo3cq7pw","Pigeon Pea",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e05z002w5frpchce6gr3","Chickpea",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e064002y5frpsdu0kyby","Groundnut",,,
"West Bengal Paddy","West Bengal","Bardhaman","cmco4e06800305frp2d473d18","Soybean",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06d00325frpjjxl8ply","Pigeon Pea",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06g00345frpifv1kskq","Chickpea",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06l00365frpg5bom0j3","Groundnut",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06p00385frpgl3x0a5b","Soybean",,,
"Gujarat Groundnut Farm","Gujarat","Junagadh","cmco4e06s003a5frpfxhujzm4","Pearl Millet",,,
"Madhya Pradesh Soybean","Madhya Pradesh","Indore","cmco4e06z003c5frp5svb73e2","Chickpea",,,
"Madhya Pradesh Soybean","Madhya Pradesh","Indore","cmco4e075003e5frpw9bxerb1","Groundnut",,,
"Madhya Pradesh Soybean","Madhya Pradesh","Indore","cmco4e079003g5frp3o8wa1vr","Soybean",,,
"Madhya Pradesh Soybean","Madhya Pradesh","Indore","cmco4e07e003i5frpeur80yfh","Pearl Millet",,,
"Madhya Pradesh Soybean","Madhya Pradesh","Indore","cmco4e07k003k5frp6u6nmln7","Sorghum",,,
"Rajasthan Pearl Millet","Rajasthan","Jodhpur","cmco4e07s003m5frp9agfqpjp","Groundnut",,,
"Rajasthan Pearl Millet","Rajasthan","Jodhpur","cmco4e07z003o5frpofjz7ozl","Soybean",,,
"Rajasthan Pearl Millet","Rajasthan","Jodhpur","cmco4e084003q5frpmuxmas71","Pearl Millet",,,
"Rajasthan Pearl Millet","Rajasthan","Jodhpur","cmco4e089003s5frpra90wzlr","Sorghum",,,
"Rajasthan Pearl Millet","Rajasthan","Jodhpur","cmco4e08g003u5frpomki5npg","Finger Millet",,,
"Andhra Pradesh Rice","Andhra Pradesh","Guntur","cmco4e08p003w5frpwdsnez3q","Soybean",,,
"Andhra Pradesh Rice","Andhra Pradesh","Guntur","cmco4e08v003y5frptiro0tm0","Pearl Millet",,,
"Andhra Pradesh Rice","Andhra Pradesh","Guntur","cmco4e09200405frprq4oo3hz","Sorghum",,,
"Andhra Pradesh Rice","Andhra Pradesh","Guntur","cmco4e09900425frpizm59sij","Finger Millet",,,
"Andhra Pradesh Rice","Andhra Pradesh","Guntur","cmco4e09h00445frptpln2ouc","Mustard",,,
"Telangana Cotton","Telangana","Warangal","cmco4e09o00465frprhfi6a4c","Pearl Millet",,,
"Telangana Cotton","Telangana","Warangal","cmco4e09u00485frpgstufmkh","Sorghum",,,
"Telangana Cotton","Telangana","Warangal","cmco4e09z004a5frp82z6irxo","Finger Millet",,,
"Telangana Cotton","Telangana","Warangal","cmco4e0a3004c5frp5isfk3rl","Mustard",,,
"Telangana Cotton","Telangana","Warangal","cmco4e0a8004e5frpkvc0tl7c","Sunflower",,,
"Bihar Maize Farm","Bihar","Bhagalpur","cmco4e0ah004g5frpdhnckdyd","Sorghum",,,
"Bihar Maize Farm","Bihar","Bhagalpur","cmco4e0am004i5frp67v1vskc","Finger Millet",,,
"Bihar Maize Farm","Bihar","Bhagalpur","cmco4e0av004k5frpnuystp42","Mustard",,,
"Bihar Maize Farm","Bihar","Bhagalpur","cmco4e0az004m5frpbmy216cm","Sunflower",,,
"Bihar Maize Farm","Bihar","Bhagalpur","cmco4e0b6004o5frp8wrh2qjl","Potato",,,
"Odisha Paddy Fields","Odisha","Cuttack","cmco4e0bh004q5frpets3r1q7","Finger Millet",,,
"Odisha Paddy Fields","Odisha","Cuttack","cmco4e0bn004s5frpy43bll8x","Mustard",,,
"Odisha Paddy Fields","Odisha","Cuttack","cmco4e0bt004u5frprosax29b","Sunflower",,,
"Odisha Paddy Fields","Odisha","Cuttack","cmco4e0bz004w5frpb8lhyzmu","Potato",,,
"Odisha Paddy Fields","Odisha","Cuttack","cmco4e0c5004y5frpios1td0z","Onion",,,
"Assam Tea Estate","Assam","Dibrugarh","cmco4e0cg00505frpyqq94kq4","Mustard",,,
"Assam Tea Estate","Assam","Dibrugarh","cmco4e0cl00525frpiu8st4nb","Sunflower",,,
"Assam Tea Estate","Assam","Dibrugarh","cmco4e0cq00545frp6tjvh3sc","Potato",,,
"Assam Tea Estate","Assam","Dibrugarh","cmco4e0cu00565frpjz48vuhu","Onion",,,
"Assam Tea Estate","Assam","Dibrugarh","cmco4e0d100585frp44o33sb9","Tomato",,,
"Haryana Wheat","Haryana","Karnal","cmco4e0d8005a5frp0j2b8czg","Sunflower",,,
"Haryana Wheat","Haryana","Karnal","cmco4e0dd005c5frpw2a561f4","Potato",,,
"Haryana Wheat","Haryana","Karnal","cmco4e0dj005e5frpbgiyn8e5","Onion",,,
"Haryana Wheat","Haryana","Karnal","cmco4e0dp005g5frpsb7du2qp","Tomato",,,
"Haryana Wheat","Haryana","Karnal","cmco4e0du005i5frpmd1uh7vq","Chilli",,,
"Jharkhand Pigeon Pea","Jharkhand","Ranchi","cmco4e0e3005k5frp94dfargb","Potato",,,
"Jharkhand Pigeon Pea","Jharkhand","Ranchi","cmco4e0e8005m5frpeknqgv4t","Onion",,,
"Jharkhand Pigeon Pea","Jharkhand","Ranchi","cmco4e0ec005o5frpspmd4ax4","Tomato",,,
"Jharkhand Pigeon Pea","Jharkhand","Ranchi","cmco4e0ei005q5frp22200fa7","Chilli",,,
"Jharkhand Pigeon Pea","Jharkhand","Ranchi","cmco4e0em005s5frpq4xg12q8","Brinjal",,,
"Chhattisgarh Rice","Chhattisgarh","Raipur","cmco4e0et005u5frph4wlnght","Onion",,,
"Chhattisgarh Rice","Chhattisgarh","Raipur","cmco4e0f0005w5frp6vvxb0y3","Tomato",,,
"Chhattisgarh Rice","Chhattisgarh","Raipur","cmco4e0f6005y5frp2n380rcb","Chilli",,,
"Chhattisgarh Rice","Chhattisgarh","Raipur","cmco4e0fd00605frpn8myce3d","Brinjal",,,
"Chhattisgarh Rice","Chhattisgarh","Raipur","cmco4e0fj00625frpbvacttdt","Basmati Rice",,,
"Uttarakhand Apple Farm","Uttarakhand","Dehradun","cmco4e0fp00645frpcmvveim6","Tomato",,,
"Uttarakhand Apple Farm","Uttarakhand","Dehradun","cmco4e0fu00665frp30m83sm1","Chilli",,,
"Uttarakhand Apple Farm","Uttarakhand","Dehradun","cmco4e0g000685frph8hdfcqn","Brinjal",,,
"Uttarakhand Apple Farm","Uttarakhand","Dehradun","cmco4e0g4006a5frpqgi205xg","Basmati Rice",,,
"Uttarakhand Apple Farm","Uttarakhand","Dehradun","cmco4e0gb006c5frpxzzphnsh","Sona Masuri Rice",,,
"Himachal Pradesh Apple","Himachal Pradesh","Shimla","cmco4e0gi006e5frpouk4hskp","Chilli",,,
"Himachal Pradesh Apple","Himachal Pradesh","Shimla","cmco4e0gm006g5frpjmtx6nqd","Brinjal",,,
"Himachal Pradesh Apple","Himachal Pradesh","Shimla","cmco4e0gu006i5frpogpg2qvh","Basmati Rice",,,
"Himachal Pradesh Apple","Himachal Pradesh","Shimla","cmco4e0gz006k5frpu9snctoa","Sona Masuri Rice",,,
"Himachal Pradesh Apple","Himachal Pradesh","Shimla","cmco4e0h4006m5frpr7c2u5st","Wheat",,,
"Jammu Kashmir Saffron","Jammu and Kashmir","Pulwama","cmco4e0he006o5frpg15q4lcr","Brinjal",,,
"Jammu Kashmir Saffron","Jammu and Kashmir","Pulwama","cmco4e0hj006q5frpyvz3t5ii","Basmati Rice",,,
"Jammu Kashmir Saffron","Jammu and Kashmir","Pulwama","cmco4e0hq006s5frpquj9op34","Sona Masuri Rice",,,
"Jammu Kashmir Saffron","Jammu and Kashmir","Pulwama","cmco4e0hv006u5frp81c9llyd","Wheat",,,
"Jammu Kashmir Saffron","Jammu and Kashmir","Pulwama","cmco4e0i1006w5frpd5xuw743","Sugarcane",,,
"Goa Coconut Farm","Goa","North Goa","cmco4e0ib006y5frp3onvavyg","Basmati Rice",,,
"Goa Coconut Farm","Goa","North Goa","cmco4e0if00705frpmion89dp","Sona Masuri Rice",,,
"Goa Coconut Farm","Goa","North Goa","cmco4e0il00725frpl91yatgw","Wheat",,,
"Goa Coconut Farm","Goa","North Goa","cmco4e0ir00745frpohj7mvk5","Sugarcane",,,
"Goa Coconut Farm","Goa","North Goa","cmco4e0iv00765frphfsra8bz","Cotton",,,
"Kerala Spice Garden","Kerala","Idukki","cmco4e0j400785frp6crm94g9","Sona Masuri Rice",,,
"Kerala Spice Garden","Kerala","Idukki","cmco4e0j9007a5frpkq05tibh","Wheat",,,
"Kerala Spice Garden","Kerala","Idukki","cmco4e0jf007c5frppt0k4muo","Sugarcane",,,
"Kerala Spice Garden","Kerala","Idukki","cmco4e0jl007e5frpoa6wzg2r","Cotton",,,
"Kerala Spice Garden","Kerala","Idukki","cmco4e0jp007g5frp0qy1k2fg","Maize",,,
"Manipur Rice Terrace","Manipur","Imphal East","cmco4e0jx007i5frpkkkiiqaz","Wheat",,,
"Manipur Rice Terrace","Manipur","Imphal East","cmco4e0k4007k5frpez9efq6d","Sugarcane",,,
"Manipur Rice Terrace","Manipur","Imphal East","cmco4e0k8007m5frp7mrzqn1u","Cotton",,,
"Manipur Rice Terrace","Manipur","Imphal East","cmco4e0kc007o5frptattkok1","Maize",,,
"Manipur Rice Terrace","Manipur","Imphal East","cmco4e0kj007q5frpzftfizxm","Pigeon Pea",,,
"Mizoram Bamboo Farm","Mizoram","Aizawl","cmco4e0kq007s5frpgpfeideg","Sugarcane",,,
"Mizoram Bamboo Farm","Mizoram","Aizawl","cmco4e0ku007u5frpz5l6jvf9","Cotton",,,
"Mizoram Bamboo Farm","Mizoram","Aizawl","cmco4e0l2007w5frpxbeiu31d","Maize",,,
"Mizoram Bamboo Farm","Mizoram","Aizawl","cmco4e0l6007y5frpimj721so","Pigeon Pea",,,
"Mizoram Bamboo Farm","Mizoram","Aizawl","cmco4e0la00805frpolcqg9uf","Chickpea",,,
"Nagaland Rice","Nagaland","Kohima","cmco4e0lk00825frptwq1a2ho","Cotton",,,
"Nagaland Rice","Nagaland","Kohima","cmco4e0lp00845frpu581jedj","Maize",,,
"Nagaland Rice","Nagaland","Kohima","cmco4e0lv00865frpv6gf8yf8","Pigeon Pea",,,
"Nagaland Rice","Nagaland","Kohima","cmco4e0m000885frppd3fksg5","Chickpea",,,
"Nagaland Rice","Nagaland","Kohima","cmco4e0m4008a5frp00fn73rz","Groundnut",,,
"Tripura Rubber Estate","Tripura","West Tripura","cmco4e0me008c5frpa2r37beh","Maize",,,
"Tripura Rubber Estate","Tripura","West Tripura","cmco4e0mi008e5frpvw8as0j6","Pigeon Pea",,,
"Tripura Rubber Estate","Tripura","West Tripura","cmco4e0mm008g5frpwamkysvs","Chickpea",,,
"Tripura Rubber Estate","Tripura","West Tripura","cmco4e0mt008i5frpzg8gnp5m","Groundnut",,,
"Tripura Rubber Estate","Tripura","West Tripura","cmco4e0my008k5frpkt4o9k5w","Soybean",,,
"Arunachal Pradesh Orange","Arunachal Pradesh","Papum Pare","cmco4e0n4008m5frp84ri79ak","Pigeon Pea",,,
"Arunachal Pradesh Orange","Arunachal Pradesh","Papum Pare","cmco4e0nc008o5frpr262qs9x","Chickpea",,,
"Arunachal Pradesh Orange","Arunachal Pradesh","Papum Pare","cmco4e0ng008q5frpu7rw42ob","Groundnut",,,
"Arunachal Pradesh Orange","Arunachal Pradesh","Papum Pare","cmco4e0nl008s5frpu3arrbdl","Soybean",,,
"Arunachal Pradesh Orange","Arunachal Pradesh","Papum Pare","cmco4e0ns008u5frp9iz5435s","Pearl Millet",,,
"Sikkim Cardamom","Sikkim","East Sikkim","cmco4e0ny008w5frpeoeg2vym","Chickpea",,,
"Sikkim Cardamom","Sikkim","East Sikkim","cmco4e0o2008y5frpx2xbntmv","Groundnut",,,
"Sikkim Cardamom","Sikkim","East Sikkim","cmco4e0o900905frp72zrf3ll","Soybean",,,
"Sikkim Cardamom","Sikkim","East Sikkim","cmco4e0od00925frp5amfbmyp","Pearl Millet",,,
"Sikkim Cardamom","Sikkim","East Sikkim","cmco4e0oi00945frprz9t4m01","Sorghum",,,
"Meghalaya Pineapple","Meghalaya","East Khasi Hills","cmco4e0or00965frpeh7qw60d","Groundnut",,,
"Meghalaya Pineapple","Meghalaya","East Khasi Hills","cmco4e0ow00985frpr12jsx62","Soybean",,,
"Meghalaya Pineapple","Meghalaya","East Khasi Hills","cmco4e0p0009a5frp5q51yycz","Pearl Millet",,,
"Meghalaya Pineapple","Meghalaya","East Khasi Hills","cmco4e0p7009c5frp64aggi7y","Sorghum",,,
"Meghalaya Pineapple","Meghalaya","East Khasi Hills","cmco4e0pa009e5frpmqeyzum3","Finger Millet",,,